ticks;name;search_competence;remove_competence;rescue_competence;search_willingness;remove_willingness;rescue_willingness
0;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
1;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
2;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
3;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
4;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
5;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
6;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
7;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
8;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
9;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
10;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
11;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
12;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
13;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
14;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
15;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
16;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
17;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
18;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
19;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
20;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
21;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
22;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
23;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
24;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
25;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
26;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
27;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
28;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
29;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
30;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
31;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
32;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
33;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
34;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
35;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
36;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
37;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
38;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
39;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
40;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
41;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
42;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
43;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
44;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
45;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
46;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
47;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
48;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
49;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
50;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
51;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
52;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
53;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
54;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
55;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
56;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
57;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
58;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
59;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
60;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
61;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
62;Delilah;0.7;0.39999999999999997;1.0;0.8999999999999999;0.6;-1.0
