ticks;name;search_competence;remove_competence;rescue_competence;search_willingness;remove_willingness;rescue_willingness
0;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
1;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
2;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
3;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
4;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
5;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
6;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
7;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
8;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
9;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
10;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
11;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
12;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
13;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
14;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
15;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
16;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
17;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
18;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
19;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
20;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
21;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
22;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
23;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
24;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
25;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
26;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
27;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
28;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
29;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
30;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
31;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
32;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
33;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
34;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
35;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
36;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
37;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
38;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
39;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
40;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
41;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
42;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
43;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
44;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
45;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
46;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
47;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
48;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
49;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
50;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
51;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
52;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
53;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
54;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
55;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
56;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
57;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
58;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
59;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
60;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
61;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
62;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
63;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
64;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
65;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
66;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
67;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
68;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
69;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
70;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
71;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
72;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
73;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
74;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
75;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
76;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
77;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
78;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
79;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
80;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
81;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
82;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
83;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
84;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
85;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
86;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
87;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
88;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
89;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
90;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
91;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
92;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
93;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
94;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
95;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
96;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
97;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
98;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
99;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
100;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
101;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
102;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
103;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
104;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
105;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
106;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
107;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
108;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
109;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
110;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
111;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
112;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
113;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
114;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
115;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
116;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
117;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
118;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
119;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
120;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
121;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
122;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
123;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
124;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
125;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
126;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
127;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
128;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
129;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
130;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
131;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
132;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
133;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
134;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
135;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
136;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
137;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
138;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
139;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
140;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
141;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
142;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
143;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
144;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
145;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
146;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
147;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
148;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
149;Delilah;0.5;0.5;0.5;0.5;0.5;0.5
