ticks;name;search_competence;remove_competence;rescue_competence;search_willingness;remove_willingness;rescue_willingness
0;Alice;0.5;0.5;0.5;0.5;0.5;0.5
1;Alice;0.5;0.5;0.5;0.5;0.5;0.5
2;Alice;0.5;0.5;0.5;0.5;0.5;0.5
3;Alice;0.5;0.5;0.5;0.5;0.5;0.5
4;Alice;0.5;0.5;0.5;0.5;0.5;0.5
5;Alice;0.5;0.5;0.5;0.5;0.5;0.5
6;Alice;0.5;0.5;0.5;0.5;0.5;0.5
7;Alice;0.5;0.5;0.5;0.5;0.5;0.5
8;Alice;0.5;0.5;0.5;0.5;0.5;0.5
9;Alice;0.5;0.5;0.5;0.5;0.5;0.5
10;Alice;0.5;0.5;0.5;0.5;0.5;0.5
11;Alice;0.5;0.5;0.5;0.5;0.5;0.5
12;Alice;0.5;0.5;0.5;0.5;0.5;0.5
13;Alice;0.5;0.5;0.5;0.5;0.5;0.5
14;Alice;0.5;0.5;0.5;0.5;0.5;0.5
15;Alice;0.5;0.5;0.5;0.5;0.5;0.5
16;Alice;0.5;0.5;0.5;0.5;0.5;0.5
17;Alice;0.5;0.5;0.5;0.5;0.5;0.5
18;Alice;0.5;0.5;0.5;0.5;0.5;0.5
19;Alice;0.5;0.5;0.5;0.5;0.5;0.5
20;Alice;0.5;0.5;0.5;0.5;0.5;0.5
21;Alice;0.5;0.5;0.5;0.5;0.5;0.5
22;Alice;0.5;0.5;0.5;0.5;0.5;0.5
23;Alice;0.5;0.5;0.5;0.5;0.5;0.5
24;Alice;0.5;0.5;0.5;0.5;0.5;0.5
25;Alice;0.5;0.5;0.5;0.5;0.5;0.5
26;Alice;0.5;0.5;0.5;0.5;0.5;0.5
27;Alice;0.5;0.5;0.5;0.5;0.5;0.5
28;Alice;0.5;0.5;0.5;0.5;0.5;0.5
29;Alice;0.5;0.5;0.5;0.5;0.5;0.5
30;Alice;0.5;0.5;0.5;0.5;0.5;0.5
31;Alice;0.5;0.5;0.5;0.5;0.5;0.5
32;Alice;0.5;0.5;0.5;0.5;0.5;0.5
33;Alice;0.5;0.5;0.5;0.5;0.5;0.5
34;Alice;0.5;0.5;0.5;0.5;0.5;0.5
35;Alice;0.5;0.5;0.5;0.5;0.5;0.5
36;Alice;0.5;0.5;0.5;0.5;0.5;0.5
37;Alice;0.5;0.5;0.5;0.5;0.5;0.5
38;Alice;0.5;0.5;0.5;0.5;0.5;0.5
39;Alice;0.5;0.5;0.5;0.5;0.5;0.5
40;Alice;0.5;0.5;0.5;0.5;0.5;0.5
41;Alice;0.5;0.5;0.5;0.5;0.5;0.5
42;Alice;0.5;0.5;0.5;0.5;0.5;0.5
43;Alice;0.5;0.5;0.5;0.5;0.5;0.5
44;Alice;0.5;0.5;0.5;0.5;0.5;0.5
45;Alice;0.5;0.5;0.5;0.5;0.5;0.5
46;Alice;0.5;0.5;0.5;0.5;0.5;0.5
47;Alice;0.5;0.5;0.5;0.5;0.5;0.5
48;Alice;0.5;0.5;0.5;0.5;0.5;0.5
49;Alice;0.5;0.5;0.5;0.5;0.5;0.5
50;Alice;0.5;0.5;0.5;0.5;0.5;0.5
51;Alice;0.5;0.5;0.5;0.5;0.5;0.5
52;Alice;0.5;0.5;0.5;0.5;0.5;0.5
53;Alice;0.5;0.5;0.5;0.5;0.5;0.5
54;Alice;0.5;0.5;0.5;0.5;0.5;0.5
55;Alice;0.5;0.5;0.5;0.5;0.5;0.5
