ticks;name;search_competence;remove_competence;rescue_competence;search_willingness;remove_willingness;rescue_willingness
0;Ben;0.5;0.5;0.5;0.5;0.5;0.5
1;Ben;0.5;0.5;0.5;0.5;0.5;0.5
2;Ben;0.5;0.5;0.5;0.5;0.5;0.5
3;Ben;0.5;0.5;0.5;0.5;0.5;0.5
4;Ben;0.5;0.5;0.5;0.5;0.5;0.5
5;Ben;0.5;0.5;0.5;0.5;0.5;0.5
6;Ben;0.5;0.5;0.5;0.5;0.5;0.5
7;Ben;0.5;0.5;0.5;0.5;0.5;0.5
8;Ben;0.5;0.5;0.5;0.5;0.5;0.5
9;Ben;0.5;0.5;0.5;0.5;0.5;0.5
10;Ben;0.5;0.5;0.5;0.5;0.5;0.5
11;Ben;0.5;0.5;0.5;0.5;0.5;0.5
12;Ben;0.5;0.5;0.5;0.5;0.5;0.5
13;Ben;0.5;0.5;0.5;0.5;0.5;0.5
14;Ben;0.5;0.5;0.5;0.5;0.5;0.5
15;Ben;0.5;0.5;0.5;0.5;0.5;0.5
16;Ben;0.5;0.5;0.5;0.5;0.5;0.5
17;Ben;0.5;0.5;0.5;0.5;0.5;0.5
18;Ben;0.5;0.5;0.5;0.5;0.5;0.5
19;Ben;0.5;0.5;0.5;0.5;0.5;0.5
20;Ben;0.5;0.5;0.5;0.5;0.5;0.5
21;Ben;0.5;0.5;0.5;0.5;0.5;0.5
22;Ben;0.5;0.5;0.5;0.5;0.5;0.5
23;Ben;0.5;0.5;0.5;0.5;0.5;0.5
24;Ben;0.5;0.5;0.5;0.5;0.5;0.5
25;Ben;0.5;0.5;0.5;0.5;0.5;0.5
26;Ben;0.5;0.5;0.5;0.5;0.5;0.5
27;Ben;0.5;0.5;0.5;0.5;0.5;0.5
28;Ben;0.5;0.5;0.5;0.5;0.5;0.5
29;Ben;0.5;0.5;0.5;0.5;0.5;0.5
30;Ben;0.5;0.5;0.5;0.5;0.5;0.5
31;Ben;0.5;0.5;0.5;0.5;0.5;0.5
32;Ben;0.5;0.5;0.5;0.5;0.5;0.5
33;Ben;0.5;0.5;0.5;0.5;0.5;0.5
34;Ben;0.5;0.5;0.5;0.5;0.5;0.5
35;Ben;0.5;0.5;0.5;0.5;0.5;0.5
36;Ben;0.5;0.5;0.5;0.5;0.5;0.5
37;Ben;0.5;0.5;0.5;0.5;0.5;0.5
38;Ben;0.5;0.5;0.5;0.5;0.5;0.5
39;Ben;0.5;0.5;0.5;0.5;0.5;0.5
40;Ben;0.5;0.5;0.5;0.5;0.5;0.5
41;Ben;0.5;0.5;0.5;0.5;0.5;0.5
42;Ben;0.5;0.5;0.5;0.5;0.5;0.5
43;Ben;0.5;0.5;0.5;0.5;0.5;0.5
44;Ben;0.5;0.5;0.5;0.5;0.5;0.5
45;Ben;0.5;0.5;0.5;0.5;0.5;0.5
46;Ben;0.5;0.5;0.5;0.5;0.5;0.5
47;Ben;0.5;0.5;0.5;0.5;0.5;0.5
48;Ben;0.5;0.5;0.5;0.5;0.5;0.5
49;Ben;0.5;0.5;0.5;0.5;0.5;0.5
50;Ben;0.5;0.5;0.5;0.5;0.5;0.5
51;Ben;0.5;0.5;0.5;0.5;0.5;0.5
52;Ben;0.5;0.5;0.5;0.5;0.5;0.5
53;Ben;0.5;0.5;0.5;0.5;0.5;0.5
54;Ben;0.5;0.5;0.5;0.5;0.5;0.5
55;Ben;0.5;0.5;0.5;0.5;0.5;0.5
56;Ben;0.5;0.5;0.5;0.5;0.5;0.5
57;Ben;0.5;0.5;0.5;0.5;0.5;0.5
58;Ben;0.5;0.5;0.5;0.5;0.5;0.5
59;Ben;0.5;0.5;0.5;0.5;0.5;0.5
60;Ben;0.5;0.5;0.5;0.5;0.5;0.5
61;Ben;0.5;0.5;0.5;0.5;0.5;0.5
62;Ben;0.5;0.5;0.5;0.5;0.5;0.5
63;Ben;0.5;0.5;0.5;0.5;0.5;0.5
64;Ben;0.5;0.5;0.5;0.5;0.5;0.5
65;Ben;0.5;0.5;0.5;0.5;0.5;0.5
66;Ben;0.5;0.5;0.5;0.5;0.5;0.5
67;Ben;0.5;0.5;0.5;0.5;0.5;0.5
68;Ben;0.5;0.5;0.5;0.5;0.5;0.5
69;Ben;0.5;0.5;0.5;0.5;0.5;0.5
70;Ben;0.5;0.5;0.5;0.5;0.5;0.5
71;Ben;0.5;0.5;0.5;0.5;0.5;0.5
72;Ben;0.5;0.5;0.5;0.5;0.5;0.5
73;Ben;0.5;0.5;0.5;0.5;0.5;0.5
74;Ben;0.5;0.5;0.5;0.5;0.5;0.5
75;Ben;0.5;0.5;0.5;0.5;0.5;0.5
76;Ben;0.5;0.5;0.5;0.5;0.5;0.5
77;Ben;0.5;0.5;0.5;0.5;0.5;0.5
78;Ben;0.5;0.5;0.5;0.5;0.5;0.5
79;Ben;0.5;0.5;0.5;0.5;0.5;0.5
80;Ben;0.5;0.5;0.5;0.5;0.5;0.5
81;Ben;0.5;0.5;0.5;0.5;0.5;0.5
82;Ben;0.5;0.5;0.5;0.5;0.5;0.5
83;Ben;0.5;0.5;0.5;0.5;0.5;0.5
84;Ben;0.5;0.5;0.5;0.5;0.5;0.5
85;Ben;0.5;0.5;0.5;0.5;0.5;0.5
86;Ben;0.5;0.5;0.5;0.5;0.5;0.5
87;Ben;0.5;0.5;0.5;0.5;0.5;0.5
88;Ben;0.5;0.5;0.5;0.5;0.5;0.5
89;Ben;0.5;0.5;0.5;0.5;0.5;0.5
90;Ben;0.5;0.5;0.5;0.5;0.5;0.5
91;Ben;0.5;0.5;0.5;0.5;0.5;0.5
92;Ben;0.5;0.5;0.5;0.5;0.5;0.5
93;Ben;0.5;0.5;0.5;0.5;0.5;0.5
94;Ben;0.5;0.5;0.5;0.5;0.5;0.5
95;Ben;0.5;0.5;0.5;0.5;0.5;0.5
96;Ben;0.5;0.5;0.5;0.5;0.5;0.5
97;Ben;0.5;0.5;0.5;0.5;0.5;0.5
98;Ben;0.5;0.5;0.5;0.5;0.5;0.5
99;Ben;0.5;0.5;0.5;0.5;0.5;0.5
100;Ben;0.5;0.5;0.5;0.5;0.5;0.5
101;Ben;0.5;0.5;0.5;0.5;0.5;0.5
102;Ben;0.5;0.5;0.5;0.5;0.5;0.5
103;Ben;0.5;0.5;0.5;0.5;0.5;0.5
104;Ben;0.5;0.5;0.5;0.5;0.5;0.5
105;Ben;0.5;0.5;0.5;0.5;0.5;0.5
106;Ben;0.5;0.5;0.5;0.5;0.5;0.5
107;Ben;0.5;0.5;0.5;0.5;0.5;0.5
108;Ben;0.5;0.5;0.5;0.5;0.5;0.5
109;Ben;0.5;0.5;0.5;0.5;0.5;0.5
110;Ben;0.5;0.5;0.5;0.5;0.5;0.5
111;Ben;0.5;0.5;0.5;0.5;0.5;0.5
112;Ben;0.5;0.5;0.5;0.5;0.5;0.5
113;Ben;0.5;0.5;0.5;0.5;0.5;0.5
114;Ben;0.5;0.5;0.5;0.5;0.5;0.5
